Age,Gender,Weight (kg),Height (m),Session_Duration (hours),Workout_Frequency (days/week),Fitness_Level,BMI,Workout_Type
56,Male,88.3,1.71,1.69,4,3,30.2,Yoga
46,Female,74.9,1.53,1.3,4,2,32,HIIT
32,Female,68.1,1.66,1.11,4,2,24.71,Cardio
25,Male,53.2,1.7,0.59,3,1,18.41,Strength
38,Male,46.1,1.79,0.64,3,1,14.39,Strength
56,Female,58,1.68,1.59,5,3,20.55,HIIT
36,Male,70.3,1.72,1.49,3,2,23.76,Cardio
40,Female,69.7,1.51,1.27,3,2,30.57,Cardio
28,Male,121.7,1.94,1.03,4,2,32.34,Strength
28,Male,101.8,1.84,1.08,3,1,30.07,Cardio
41,Male,120.8,1.67,0.82,2,1,43.31,HIIT
53,Male,51.7,1.7,1.15,3,2,17.89,HIIT
57,Male,112.5,1.61,1.24,3,2,43.4,Cardio
41,Male,94.5,2,1.18,3,1,23.62,HIIT
20,Male,117.7,1.81,1.35,3,2,35.93,Yoga
39,Female,42.5,1.75,1.13,2,1,13.88,Strength
19,Female,64,1.53,1.33,3,2,27.34,HIIT
41,Female,43.8,1.77,1.19,3,1,13.98,Cardio
47,Female,66.8,1.75,1.13,3,2,21.81,Strength
55,Female,75.2,1.67,1.37,2,1,26.96,HIIT
19,Male,89,1.77,1.5,4,2,28.41,Strength
38,Male,71.9,1.77,1.12,2,1,22.95,Cardio
50,Female,71,1.68,1.17,2,1,25.16,Yoga
29,Male,120.9,1.78,0.78,2,1,38.16,Yoga
39,Female,64.3,1.69,1.25,4,2,22.51,HIIT
42,Female,63.7,1.71,1.42,3,2,21.78,Yoga
44,Male,65.2,1.8,0.73,2,1,20.12,HIIT
59,Male,53.9,1.75,1.48,4,2,17.6,Strength
45,Male,84.9,1.86,1.64,5,3,24.54,HIIT
33,Female,78,1.68,1.29,3,2,27.64,HIIT
32,Male,108.2,1.8,1.27,3,1,33.4,HIIT
20,Female,65.4,1.52,1.03,4,2,28.31,Yoga
54,Female,50.2,1.61,1.48,2,1,19.37,HIIT
